c* = 0.8113826
column                  N       pc/N  N(e^{pc/N}-1)    L*(eps<=.5)    L*(eps<=.1)
proved                  1    34.0573      6.178e+14     4.5253e+14    1.38463e+15
proved                  2    17.0286      4.971e+07    1.39229e+08    4.26008e+08
proved                  4     8.5143      1.994e+04        77146.1         236173
proved                  8     4.2572          556.9        1829.65        5719.05
proved                 16     2.1286          118.4        310.994        1041.31
proved                 32     1.0643          60.76        156.915        538.434
proved                 64     0.5321          44.97        138.053        428.011
proved_oddonly          1    34.0573      6.178e+14     4.5253e+14    1.38463e+15
proved_oddonly          2    17.0286      4.971e+07    1.39229e+08    4.26008e+08
proved_oddonly          4     8.5143      1.994e+04        77125.8         236173
proved_oddonly          8     4.2572          556.9        1825.31        5714.53
proved_oddonly         16     2.1286          118.4        309.278        1039.93
proved_oddonly         32     1.0643          60.76        153.884        537.583
proved_oddonly         64     0.5321          44.97        121.843        422.074
proved_sharpsens        1     6.6301          756.6        33144.9        68682.4
proved_sharpsens        2     3.3151          53.05        1313.41        2928.49
proved_sharpsens        4     1.6575          16.99         251.22          709.5
proved_sharpsens        8     0.8288          10.32        130.655         435.29
proved_sharpsens       16     0.4144          8.215        112.671        375.868
proved_sharpsens       32     0.2072          7.367        109.538        353.578
proved_sharpsens       64     0.1036          6.986        108.533        344.382
measured                1     6.6301          756.6         4831.5        9988.06
measured                2     3.3151          53.05        137.182        297.527
measured                4     1.6575          16.99        34.0245         85.708
measured                8     0.8288          10.32        29.2947        70.5423
measured               16     0.4144          8.215        28.6534        67.5587
measured               32     0.2072          7.367        28.4803         66.692
measured               64     0.1036          6.986        28.4203        66.3589
