C_K                        column      N     eps(160)     eps(640)    eps(2560)    L*(eps<=.5)    L*(eps<=.1)
C_K=66.6622                proved      1          nan          nan          nan     4.5253e+14    1.38463e+15
C_K=66.6622                proved     16       7.8684      0.20457     0.039122        366.962        1116.32
C_K=66.6622                measured    1          nan          nan          nan        4832.77        9995.96
C_K=66.6622                measured   16      0.32007     0.023209    0.0029709        131.104        283.221
C_K=3.0202                 proved      1          nan          nan          nan     4.5253e+14    1.38463e+15
C_K=3.0202                 proved     16       3.0128      0.17876     0.037846         312.39        1041.03
C_K=3.0202                 measured    1          nan          nan          nan         4831.5        9990.69
C_K=3.0202                 measured   16     0.038992    0.0064298    0.0017831        39.8841        89.3989
C_K=8/f                    proved      1          nan          nan          nan     4.5253e+14    1.38463e+15
C_K=8/f                    proved     16       2.9328      0.17961     0.038068        312.143        1048.19
C_K=8/f                    measured    1          nan          nan          nan         4831.5        9990.69
C_K=8/f                    measured   16     0.035969     0.007592    0.0020377        28.8732         71.046
C_K=1 (a2 baseline)        proved      1          nan          nan          nan     4.5253e+14    1.38463e+15
C_K=1 (a2 baseline)        proved     16       2.8863      0.17779     0.037805        309.931        1038.29
C_K=1 (a2 baseline)        measured    1          nan          nan          nan         4831.5        9988.06
C_K=1 (a2 baseline)        measured   16        0.027    0.0055982    0.0017327        28.6534        67.2036
